question,date
내 이상형 중 특이한 조건은 무엇인가요?,2021-02-01
살면서 놓쳤던 인연들 중 한 명을 다시 잡을 수 있다면 누구를 잡을 것인가요?,2021-02-02
내가 태어나서 가장 열정적으로 배운것은 무엇인가요?,2021-02-03
"내가 좋아하는 계절, 시간대는 언제인가요?",2021-02-04
지금 가고 싶은 여행지는 어디인가요?,2021-02-05
내가 이유 없이 좋아하는 단어는 무엇인가요?,2021-02-06
내가 자주 쓰는 유행어는 무엇인가요?,2021-02-07
주변 사람들을 덕질 해본 적이 있나요?,2021-02-08
현재의 고민은 무엇인가요?,2021-02-09
나는 몰랐지만 남이 알려줘서 알게 된 나의 특징은 무엇인가요?,2021-02-10
내가 빠지지 않고 하는 하루 일과 중에 가장 특이한 행동은 무엇인가요?,2021-02-11
우울할 때 하는 행동은 무엇이 있나요?,2021-02-12
내가 유튜브에서 주로 찾아보는 영상의 종류는 어떤 게 있나요?,2021-02-13
핸드폰에서 자주하는 어플 세 가지는 무엇인가요?,2021-02-14
내가 꾸준히 모으는 물건은 무엇인가요?,2021-02-15
나는 나 자신을 많이 알고 나 자신과 친하다고 생각하나요?,2021-02-16
내가 원하는 내 인생의 마무리는 어떤가요?,2021-02-17
삶의 질을 높여준 2개의 제품을 소개해주세요.,2021-02-18
절대 잊지 못할 인생의 적은 누구인가요?,2021-02-19
인상 깊었던 생일은 언제였나요?,2021-02-20
살면서 고친 나의 성격이나 버릇은 무엇인가요?,2021-02-21
아직도 기억하고 있는 꿈은 무엇인가요?,2021-02-22
좋아하는 시가 있나요? 그 제목은 무엇인가요?,2021-02-23
가장 최근에 읽은 책은 무엇인가요?,2021-02-24
내가 가장 열렬하게 좋아 했던 대상은 누구였나요?,2021-02-25
가족을 제외하고 내 인생에서 가장 영향력 있던 사람은 누구인가요?,2021-02-26
잘한다고 자부하는 요리는 무엇인가요?,2021-02-27
조건 없이 초능력을 가진다면 어떤 초능력을 가질 것 인가요?,2021-02-28
나만 가지고 있을 나만의 특징은 무엇인가요?,2021-03-01
내가 생각하는 특이한 장점은 무엇인가요?,2021-03-02
내 인생의 워너비는 누구인가요?,2021-03-03
내가 좋아하는 글귀나 노래가사는 무엇인가요?,2021-03-04
내 분위기는 어떤 느낌인가요?,2021-03-05
나와 닮았다고 생각하는 캐릭터는 무엇인가요?,2021-03-06
장래희망이나 직업 말고 내가 원하는 살면서 꼭 이루고 싶은 꿈은?,2021-03-07
집에 방이 하나 더 생긴다면 무엇을 하고 싶은지?,2021-03-08
유튜버가 된다면 올리고 싶은 컨텐츠는 무엇인가요?,2021-03-09
내가 자주 하는 상상은 무엇인가요?,2021-03-10
삶에서 가장 설레였던 인상 깊은 추억은 어떤게 있나요?,2021-03-11
내가 좋아하는 외국어는 무엇인가요?,2021-03-12
현재 내 능력과 상관없이 하고 싶은 직업은 무엇인가요?,2021-03-13
하루 일과 중 가장 귀찮은 것은 무엇인가요?,2021-03-14
내가 멋있다고 생각하는 능력은 무엇인가요?,2021-03-15
다시 돌아가서 싸우고 싶은 순간은 무엇인가요?,2021-03-16
이제까지 본 글 중 인상 깊은 글은 무엇인가요?,2021-03-17
자신이 계산 기준으로 삼는 물건은 무엇인가요?,2021-03-18
내가 믿고 있는 초능력이 있나요?,2021-03-19
나를 2가지 단어로 표현한다면?,2021-03-20
내 인생을 3가지 단어로 표현해보면?,2021-03-21
나의 최장 수면시간과 최단 수면시간은 각각 몇 시간인가요?,2021-03-22
아침에 제일 먼저 하는 건 무엇인가요?,2021-03-23
자기 전에 하는건 무엇인가요?,2021-03-24
잠버릇이 있나요? 있다면 무엇인가요?,2021-03-25
내가 존경하는 사람은 어떤 사람인가요?,2021-03-26
나와 잘 어울리는 단어는 무엇인가요?,2021-03-27
나의 좌우명이나 신조는 무엇인가요? ,2021-03-28
가장 기억에 남는 광고는 무엇인가요?,2021-03-29
가장 기억에 남는 여행은 언제인가요?,2021-03-30
가장 기억에 남는 영화는 무엇인가요?,2021-03-31
가장 잘 입는 옷 스타일은 무엇인가요?,2021-04-01
내가 가장 좋아하는 노래는 무엇인가요?,2021-04-02
내가 자주 가는 장소는 어디인가요?,2021-04-03
즐겨 하는 운동이 무엇인가요? ,2021-04-04
나의 단골집은 어디인가요?,2021-04-05
감명깊게 읽은 책의 제목과 작가는 누구인가요?,2021-04-06
내가 좋아하는 사람은 어떤 사람인가요?,2021-04-07
최근에 사고 싶은 전자 기기가 있나요?,2021-04-08
지금 당신의 기분은 어떤가요?,2021-04-09
지금 당신 곁에 있는 물건은 무엇인가요?,2021-04-10
좋아하는 향수나 향은 무엇인가요?,2021-04-11
지금 당장 먹고 싶은 것이 있나요?,2021-04-12
좋아하는 음식은 무엇인가요?,2021-04-13
좋아하는 가수는 누구인가요?,2021-04-14
가장 자신있는 요리는 무엇인가요?,2021-04-15
